nil,105,1,2,1,--- Sapporo/Otaru --,--- 札幌・小樽・石狩 ---
11002,105,1,2,1,Sapporo,札幌市
12033,105,1,2,1,Otaru,小樽市
12173,105,1,2,1,Ebetsu,江別市
12246,105,1,2,1,Chitose,千歳市
12319,105,1,2,1,Eniwa,恵庭市
12343,105,1,2,1,Kitahiroshima,北広島市
12351,105,1,2,1,Ishikari,石狩市
13030,105,1,2,1,Tobetsu,当別町
13048,105,1,2,1,Shinshinotsu,新篠津村
nil,105,1,2,2,--- Noboribetsu/Toya --,--- 登別・洞爺・胆振 ---
12050,105,1,2,2,Muroran,室蘭市
12131,105,1,2,2,Tomakomai,苫小牧市
12301,105,1,2,2,Noboribetsu,登別市
12335,105,1,2,2,Date,伊達市
15717,105,1,2,2,Toyoura,豊浦町
15750,105,1,2,2,Sobetsu,壮瞥町
15784,105,1,2,2,Shiraoi,白老町
15814,105,1,2,2,Atsuma,厚真町
15849,105,1,2,2,Toyako,洞爺湖町
15857,105,1,2,2,Abira,安平町
15865,105,1,2,2,Mukawa,むかわ町
nil,105,1,2,3,--- Asahikawa/Furano --,--- 旭川・空知・上川 ---
12041,105,1,2,3,Asahikawa,旭川市
12092,105,1,2,3,Yubari,夕張市
12106,105,1,2,3,Iwamizawa,岩見沢市
12157,105,1,2,3,Bibai,美唄市
12165,105,1,2,3,Ashibetsu,芦別市
12181,105,1,2,3,Akabira,赤平市
12203,105,1,2,3,Shibetsu,士別市
12211,105,1,2,3,Nayoro,名寄市
12220,105,1,2,3,Mikasa,三笠市
12254,105,1,2,3,Takikawa,滝川市
12262,105,1,2,3,Sunagawa,砂川市
12271,105,1,2,3,Utashinai,歌志内市
12289,105,1,2,3,Fukagawa,深川市
12297,105,1,2,3,Furano,富良野市
14231,105,1,2,3,Namporo,南幌町
14249,105,1,2,3,Naie,奈井江町
14257,105,1,2,3,Kamisunagawa,上砂川町
14273,105,1,2,3,Yuni,由仁町
14281,105,1,2,3,Naganuma,長沼町
14290,105,1,2,3,Kuriyama,栗山町
14303,105,1,2,3,Tsukigata,月形町
14311,105,1,2,3,Urausu,浦臼町
14320,105,1,2,3,Shintotsukawa,新十津川町
14338,105,1,2,3,Moseushi,妹背牛町
14346,105,1,2,3,Chipubetsu,秩父別町
14362,105,1,2,3,Uryu,雨竜町
14371,105,1,2,3,Hokuryu,北竜町
14389,105,1,2,3,Numata,沼田町
14524,105,1,2,3,Takasu,鷹栖町
14532,105,1,2,3,Higashikagura,東神楽町
14541,105,1,2,3,Toma,当麻町
14559,105,1,2,3,Pippu,比布町
14567,105,1,2,3,Aibetsu,愛別町
14575,105,1,2,3,Kamikawa,上川町
14583,105,1,2,3,Higashikawa,東川町
14591,105,1,2,3,Biei,美瑛町
14605,105,1,2,3,Kamifurano,上富良野町
14613,105,1,2,3,Nakafurano,中富良野町
14621,105,1,2,3,Minamifurano,南富良野町
14630,105,1,2,3,Shimukappu,占冠村
14648,105,1,2,3,Wassamu,和寒町
14656,105,1,2,3,Kenbuchi,剣淵町
14681,105,1,2,3,Shimokawa,下川町
14699,105,1,2,3,Biei,美深町
14702,105,1,2,3,Otoineppu,音威子府村
14711,105,1,2,3,Nakagawa,中川町
14729,105,1,2,3,Horokanai,幌加内町
nil,105,1,2,4,--- Niseko/Yoichi --,--- ニセコ・余市・後志 ---
13919,105,1,2,4,Shimamaki,島牧村
13927,105,1,2,4,Suttsu,寿都町
13935,105,1,2,4,Kuromatsunai,黒松内町
13943,105,1,2,4,Rankoshi,蘭越町
13951,105,1,2,4,Niseko,ニセコ町
13960,105,1,2,4,Makkari,真狩村
13978,105,1,2,4,Rusutsu,留寿都村
13986,105,1,2,4,Kimobetsu,喜茂別町
13994,105,1,2,4,Kyogoku,京極町
14001,105,1,2,4,Kucchan,倶知安町
14010,105,1,2,4,Kyowa,共和町
14028,105,1,2,4,Iwanai,岩内町
14036,105,1,2,4,Tomari,泊村
14044,105,1,2,4,Kamoenai,神恵内村
14052,105,1,2,4,Shakotan,積丹町
14061,105,1,2,4,Furubira,古平町
14079,105,1,2,4,Niki,仁木町
14087,105,1,2,4,Yoichi,余市町
14095,105,1,2,4,Akaigawa,赤井川村
nil,105,1,2,5,--- Obihiro/Tokachi --,--- 帯広・十勝 ---
12076,105,1,2,5,Obihiro,帯広市
16314,105,1,2,5,Otofuke,音更町
16322,105,1,2,5,Shihoro,士幌町
16331,105,1,2,5,Kamishihoro,上士幌町
16349,105,1,2,5,Shikaoi,鹿追町
16357,105,1,2,5,Shintoku,新得町
16365,105,1,2,5,Shimizu,清水町
16373,105,1,2,5,Memuro,芽室町
16381,105,1,2,5,Nakasatsunai,中札内村
16390,105,1,2,5,Sarabetsu,更別村
16411,105,1,2,5,Taiki,大樹町
16420,105,1,2,5,Hiroo,広尾町
16438,105,1,2,5,Makubetsu,幕別町
16446,105,1,2,5,Ikeda,池田町
16454,105,1,2,5,Toyokoro,豊頃町
16462,105,1,2,5,Honbetsu,本別町
